Country,Indicator,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
Ghana,"Inflation, consumer prices (annual %)",41.509496287803,9.36093239560313,29.7729797160384,18.0427388232565,15.4389920155908,11.6791839392492,10.7342665456292,16.494639613412,19.2469482220857,10.7333898354915,8.7284593709302,11.1863409441067,11.6661923071729,15.4896160333318,17.1499695007878,17.4546347070868,12.3719215507048,7.80876516610703,7.14364003330857,9.88728956269944,9.9710886750444,31.2558951049016,38.1069656296501
Cote d'Ivoire,"Inflation, consumer prices (annual %)",4.36152914007262,3.0772648515743,3.29680746974211,1.45798835600739,3.88583039886476,2.46719148596918,1.89200629349597,6.30852769152581,1.01950457731133,1.22645612135479,4.9124339505246,1.30451119915597,2.58117037252936,0.448682076766141,1.25149954781477,0.723178457513217,0.685881065304603,0.359409031380677,-1.10686343994188,2.42500656821815,4.09195189692863,5.27616724262846,4.38711707003279
Kenya,"Inflation, consumer prices (annual %)",5.73859814341467,1.96130821739162,9.81569062979654,11.6240355442426,10.3127783574683,14.4537342081708,9.75888023027529,26.2398166445063,9.23412592394652,3.96138889115385,14.0224913014704,9.37777003547598,5.71749357037733,6.87815499275949,6.58215429284779,6.29724953814625,8.00564967709945,4.6898064677633,5.23963795764792,5.40516207933392,6.10793603659176,7.65986268272224,7.67139634029402
Ghana,"Official exchange rate (LCU per US$, period average)",0.716305157808995,0.792417084313167,0.866764326525345,0.899494854007063,0.905209485833333,0.915106799166667,0.932619195,1.052275,1.40496666666667,1.42998333333333,1.520625,1.82486666666667,1.98135,2.896575,3.71464166666667,3.90981666666667,4.35053333333333,4.585325,5.21736666666667,5.59570833333333,5.8057,8.2724,11.0204083333333
Cote d'Ivoire,"Official exchange rate (LCU per US$, period average)",732.397693260228,693.713226496374,579.897426172466,527.338032291576,527.258362649626,522.425624895176,478.633718476363,446.000041432788,470.293423341398,494.794262222947,471.248625718937,510.556338454251,493.899623852237,493.757329875312,591.21169798261,592.605615063022,580.656749587858,555.446458398226,585.911013180369,575.586004510945,554.530675033104,623.759700911182,606.569750165917
Kenya,"Official exchange rate (LCU per US$, period average)",78.563195,78.7491416666667,75.9355694444444,79.1738760642136,75.5541094514311,72.1008350178621,67.3176381242857,69.175319816226,77.352012297579,79.2331517045455,88.8107699710456,84.5296017573529,86.1228788982654,87.9221638089727,98.1784533265271,101.504369498594,103.410004519014,101.301574049018,101.99129838935,106.450780158517,109.637746592367,117.865989201683,139.846383759617
Ghana,Real interest rate (%),,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,Real interest rate (%),,,,,5.76399145289527,3.33183089135264,1.61328996274159,-0.368943717783127,3.72473413500344,3.54338989640227,-0.428915663486719,5.46535041885889,2.34335749341271,0.891700761437536,0.361232955383729,6.55213666931005,6.24674820287654,,,,,,
Kenya,Real interest rate (%),17.8125009681691,17.3581406445427,9.77051092711813,5.04525759665487,7.6099875458817,-8.00986697136364,4.8190907881851,-0.984996972294333,-10.0960035655484,12.526958492458,4.52618583226898,9.31351134458288,9.29394635969954,8.24907899217324,6.26880578270384,10.1181287134987,5.65674761585907,8.48796047494691,7.83110074767397,6.7146344090674,7.42758100514372,5.96844687503544,6.54651706101945
Ghana,Average precipitation in depth (mm per year),1187.0,1187.0,1187.0,1187.0,1187.0,1187.0,1187.0,1187.0,1187.0,1187.0,1187.0,1187.0,1187.0,1187.0,1187.0,1187.0,1187.0,1187.0,1187.0,1187.0,1187.0,,
Cote d'Ivoire,Average precipitation in depth (mm per year),1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,,
Kenya,Average precipitation in depth (mm per year),630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,,
Ghana,Deposit interest rate (%),30.8541666666667,16.2083333333333,14.3233333333333,13.625,10.1625,8.88541666666667,8.89583333333333,11.285,17.0641666666667,12.8783333333333,8.90833333333333,10.05,12.35,12.9041666666667,13.3391666666667,13.0416666666667,14.0625,12.0833333333333,11.5,11.5,11.5,12.0520833333333,11.4166666666667
Cote d'Ivoire,Deposit interest rate (%),,,,,7.6075,7.82166666666667,7.81333333333333,8.12416666666667,8.57916666666667,8.38666666666667,8.50083333333333,7.9925,7.65416666666667,7.25833333333333,6.99833333333333,6.925,6.49,,,,,,
Kenya,Deposit interest rate (%),6.63916666666667,5.48666666666667,4.13333333333333,2.43333333333333,5.0825,5.13870295130725,5.1622510463428,5.30213063373777,5.96701675024746,4.55736666666667,5.62856339761252,11.5721446572898,8.64176967105701,8.37337960777482,9.18894521073093,8.6886255727196,7.67412325789829,8.29270021657508,7.50607030577308,6.968703291374,6.68697378755183,7.1451755018279,9.16769017629068
Ghana,Lending interest rate (%),,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,Lending interest rate (%),,,,,7.04916666666667,4.73666666666667,4.75166666666667,4.98416666666667,4.9775,5.11333333333333,5.25591666666667,5.03916666666667,5.2875,5.33833333333333,5.15416666666667,5.295,5.14,,,,,,
Kenya,Lending interest rate (%),19.6658333333333,18.4533333333333,16.5733333333333,12.5316666666667,12.8825,13.6355339080567,13.340343675809,14.0169393773033,14.8045412422178,14.3715,15.0467599904394,19.7234066533954,17.3134576914047,16.5139307062948,16.086613785739,16.5596306460545,13.6675725164372,13.0607588353757,12.4411328875146,11.9957846171539,12.0799983467507,12.3358409030593,13.588501716128
Ghana,"Interest rate spread (lending rate minus deposit rate, %)",,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,"Interest rate spread (lending rate minus deposit rate, %)",,,,,-0.55833333333333,-3.085,-3.06166666666666,-3.14,-3.60166666666667,-3.27333333333334,-3.24491666666666,-2.95333333333333,-2.36666666666667,-1.92,-1.84416666666666,-1.63,-1.35,,,,,,
Kenya,"Interest rate spread (lending rate minus deposit rate, %)",13.0266666666666,12.9666666666666,12.44,10.0983333333334,7.8,8.49683095674945,8.1780926294662,8.71480874356553,8.83752449197034,9.81413333333333,9.41819659282688,8.1512619961056,8.67168802034769,8.14055109851998,6.89766857500807,7.8710050733349,5.99344925853891,4.76805861880062,4.93506258174152,5.0270813257799,5.39302455919887,5.1906654012314,4.42081153983732
Ghana,Fossil fuel energy consumption (% of total),32.1757193141546,36.0289910933857,36.7621363537813,36.9201097019308,37.6025049951565,43.0343227164708,45.75724713376,42.9520794794922,46.0023935928984,49.6777884074571,49.8210397188239,52.6160021970445,52.4975934413822,52.5430601292631,,,,,,,,,
Cote d'Ivoire,Fossil fuel energy consumption (% of total),34.2983971532307,37.8487156284546,32.5014405081501,24.9305732993684,25.3912567218617,21.4491642750928,24.2532852502159,24.6166579573275,22.7178036261412,23.2315074256831,20.8677616437152,24.6801540811143,26.6581215014873,26.4923300237552,,,,,,,,,
Kenya,Fossil fuel energy consumption (% of total),16.4217860033983,15.6769512776347,12.9990110853581,14.0990239653125,15.4387442540682,17.0652641405758,16.6435113141749,16.9646664447887,18.8547729493402,19.411686082096,19.0640186416358,17.1146157753522,18.2660722824899,17.3795726114892,,,,,,,,,
Ghana,Unemployment rate,9.604,8.698,7.722,6.757,5.817,4.897,5.092,5.142,5.349,5.384,4.227,3.141,2.173,4.412,6.806,5.237,3.369,3.251,3.156,3.285,3.338,3.084,3.079
Cote d'Ivoire,Unemployment rate,5.199,5.516,5.858,5.93,6.041,6.04,6.308,6.404,6.586,6.614,7.145,7.223,4.255,3.275,2.574,1.896,3.273,2.851,2.401,2.559,2.59,2.434,2.403
Kenya,Unemployment rate,2.868,2.903,2.86,2.836,2.739,2.678,2.65,2.752,2.813,2.793,2.706,2.686,2.764,2.768,2.763,2.757,3.54,4.284,5.014,5.621,5.693,5.805,5.682
